id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
37234907,Cloud9-Walk to McCormick Place from a Polished Apt,248760412,Cloud9,,Near South Side,41.85538,-87.62506,Entire home/apt,1100,2,0,,,30,123
37239380,Hot Deal for long term stays!,19069769,Brad,,Avondale,41.94597,-87.70689,Entire home/apt,65,14,0,,,5,111
37242930,Cloud9-Braque Suite 3 Bed (Sleeps 8) on Mich Ave,248760412,Cloud9,,Near South Side,41.85523,-87.62455,Entire home/apt,1000,2,3,2019-11-14,2.31,30,120
37243559,Cloud9-Parker Suite South Loop/Printers Row Loft,248760412,Cloud9,,Near South Side,41.85373,-87.62317,Entire home/apt,1000,2,2,2019-11-14,0.86,30,203
37244930,Cloud9-Segall Suite near Mccormick Place,248760412,Cloud9,,Near South Side,41.85495,-87.62327,Entire home/apt,1000,2,1,2019-10-14,0.77,30,65
37245075,One bedroom entire apartment by the lake!,133837635,Anastashia,,Edgewater,41.98326,-87.65802,Entire home/apt,99,2,8,2019-10-28,2.29,1,0
37247538,Logan Square Modern Condo,18014956,John,,Logan Square,41.91706,-87.70053,Entire home/apt,249,2,2,2019-09-22,0.74,1,2
37247917,Convenient Victorian: steps from Green Line.,103540039,Germaine,,Austin,41.88607,-87.76614,Entire home/apt,239,2,1,2019-08-11,0.29,3,180
37248313,Wrigleyville Graystone w/ Parking - Sleeps 22,133610840,Mehul,,Lake View,41.9479,-87.66975,Entire home/apt,399,2,3,2019-11-11,2.50,3,322
37248792,Premium 1BR Corner Unit + Balcony and Lake Views!,63313003,K,,Loop,41.88759,-87.61898,Entire home/apt,148,30,0,,,29,361
37251259,Cozzy Corner 2,275111789,A,,Austin,41.87522,-87.77448,Entire home/apt,110,2,12,2019-11-17,4.74,2,76
37251446,Clean tidy apartment in East Pilsen,278982747,Marco,,Lower West Side,41.8581,-87.64224,Entire home/apt,96,1,6,2019-11-17,4.09,1,122
37252888,Sonder | Essex on the Park | Upscale Studio,12243051,Sonder,,Loop,41.87257,-87.62536,Entire home/apt,140,2,11,2019-11-05,4.12,108,365
37252894,Oasis above the Costume Shop 3F,48873294,Courtland,,Lincoln Park,41.92586,-87.65645,Entire home/apt,94,1,13,2019-11-17,3.79,1,162
37257725,"Lincoln Park Perfect Fit Posh 1 BR, walk to DePaul",9533523,Joey,,Lincoln Park,41.92023,-87.66003,Entire home/apt,105,1,13,2019-11-13,3.79,7,86
37258453,Townhouse in  Wickerpark 5 min from Damen Station,280500114,Manilo,,West Town,41.90787,-87.67262,Private room,150,2,3,2019-11-04,1.11,2,69
37258833,Comfy Home Near Wrigley Field with Private Pond,206009013,Maximillian,,Lincoln Park,41.93058,-87.65142,Entire home/apt,450,1,13,2019-11-14,3.71,10,256
37258884,Spacious Andersonville apt near train & beach!,258600139,Ryan,,Uptown,41.97443,-87.6619,Entire home/apt,118,1,6,2019-10-12,1.88,1,3
37260522,Perfect Bronzeville Location,89525122,Roger,,Grand Boulevard,41.81599,-87.61176,Private room,50,1,25,2019-11-10,8.33,1,73
37260921,Airy Alto Suite on Michigan Avenue near McCormick,248760412,Cloud9,,Near South Side,41.85354,-87.62458,Entire home/apt,1000,2,0,,,30,149
37263603,Cloud9-2Br Apt on Michigan 5min to McCormick Place,248760412,Cloud9,,Near South Side,41.85518,-87.62401,Entire home/apt,1000,2,2,2019-11-15,0.85,30,95
37272774,"Sleek West Loop 1BR w/ Gym, Pool, W/D, near Fulton Market, by Blueground",107434423,Blueground,,Near West Side,41.88239,-87.65164,Entire home/apt,149,30,0,,,119,282
37279118,Charming 2bed 2bath in the heart of boystown,70494471,Donna,,Lake View,41.94,-87.64845,Entire home/apt,120,3,4,2019-10-28,1.85,1,112
37280927,PENTHOUSE condo (2500sqft),101367744,Anthony,,Loop,41.87449,-87.62925,Entire home/apt,650,2,0,,,1,0
37281105,Come and experience the right place to stay!,280661807,Kevin,,Auburn Gresham,41.74716,-87.65898,Entire home/apt,150,5,1,2019-08-28,0.35,1,179
37283529,Minimum31Nights: 3RR Priv Bath Priv Room Renovated,100782278,Emily & Rich,,Bridgeport,41.84249,-87.63891,Private room,56,31,1,2019-08-10,0.29,21,365
37283545,Minimum31Nights: 3R; 2bed/2bath Steps from S Loop,100782278,Emily & Rich,,Bridgeport,41.84435,-87.64024,Entire home/apt,87,31,1,2019-10-12,0.73,21,364
37285089,Cloud9-2 Br Sleeps 6 S Loop Walk to McCormick,248760412,Cloud9,,Near South Side,41.85433,-87.62315,Entire home/apt,1000,2,3,2019-11-15,1.25,30,259
37286019,⭐Winter Special! Gorgeous 2BR in Wicker Park,148973907,Mia & Noah,,West Town,41.90883,-87.66471,Entire home/apt,10000,1,11,2019-11-11,3.37,19,96
37286850,⭐ Winter Special! Charming 2BR in Wicker Park,148973907,Mia & Noah,,West Town,41.90733,-87.6645,Entire home/apt,10000,1,15,2019-11-05,4.59,19,93
37286928,West Loop Luxury 1 Bed - Outdoor Pool and More!,144266,Shana,,Near West Side,41.88431,-87.6437,Entire home/apt,225,2,0,,,1,0
37287534,Domio I South Loop I Luxe 4 BR / 3 Floor Townhouse + Fitness Center,201057529,Domio,,Loop,41.86874,-87.63076,Entire home/apt,299,1,11,2019-11-08,4.40,100,285
37287784,Domio | South Loop | Distinct 3 BR / 3BA Apt + Fitness Center and Pool,201057529,Domio,,Loop,41.87025,-87.63089,Entire home/apt,249,1,13,2019-11-14,4.81,100,274
37288022,Domio | South Loop | Amazing 2 BR/2BA Apt + Pool and Fitness Center,201057529,Domio,,Loop,41.86926,-87.63088,Entire home/apt,249,1,11,2019-11-14,4.12,100,299
37288096,Domio | South Loop | Serene 2 BR/2BA Apt + Pool and Golf Simulator,201057529,Domio,,Loop,41.86904,-87.63024,Entire home/apt,249,1,3,2019-11-14,1.20,100,301
37288175,Domio | South Loop | Stylish 2 BR/2BA Apt + Fitness Center and Yoga Studio,201057529,Domio,,Loop,41.86887,-87.63081,Entire home/apt,249,1,7,2019-10-28,2.59,100,272
37288233,Domio | South Loop | Grand 3 BR/2.5 BA Duplex + Fitness Center and Pool,201057529,Domio,,Loop,41.86915,-87.63231,Entire home/apt,249,1,11,2019-11-14,4.65,100,301
37297055,3 Bedrooms Apartment CHICAGO,268105911,Stef,,West Englewood,41.79267,-87.67066,Entire home/apt,99,2,0,,,5,335
37297945,Cloud9-Globetrotter Apartment in West Loop,248760412,Cloud9,,Near West Side,41.88665,-87.64319,Entire home/apt,500,2,1,2019-09-15,0.44,30,132
37300218,Restoring Chicago of the 1920's speakeasy. Room 3A,51668477,Michael,,Near North Side,41.88885,-87.63097,Private room,80,1,32,2019-11-18,8.57,7,321
37308383,⭐ Winter Special! Ambiance 1BR APT in Boystown,148973907,Mia & Noah,,Lake View,41.94361,-87.64116,Entire home/apt,125,1,12,2019-11-17,3.24,19,92
37310743,Modern South Loop 1BR w/ Pool + Gym near Michigan Ave by Blueground,107434423,Blueground,,Loop,41.87221,-87.62513,Entire home/apt,157,30,0,,,119,227
37313756,Spacious Garden Unit with Easy Access to Downtown,52799505,Scott,,West Town,41.90737,-87.66232,Private room,70,1,20,2019-10-28,5.36,1,324
37313873,Admire the Minimal Elegance at a West Loop Suite,248760412,Cloud9,,Near West Side,41.88541,-87.64336,Entire home/apt,500,2,0,,,30,132
37314546,Cloud9-Horizon Suite Steps to Nightlife,248760412,Cloud9,,Near West Side,41.88497,-87.64363,Entire home/apt,500,2,1,2019-09-16,0.45,30,126
37315754,ROOM SERVICE  EVERTY 2 DAYS- KING BED,176237492,Thais,,Near North Side,41.89489,-87.63137,Entire home/apt,400,2,2,2019-11-09,0.85,7,50
37320273,Cloud9-Sienna Suite walk to the West loop,248760412,Cloud9,,Near West Side,41.88567,-87.64475,Entire home/apt,500,2,0,,,30,268
37320954,Cloud9-Cosmo in the West Loop walk everywhere,248760412,Cloud9,,Near West Side,41.88646,-87.64506,Entire home/apt,500,2,0,,,30,108
